Company,GICS Sub-Industry, Industry (Exiobase) ,Environmental Intensity (Sales),Environmental Intensity (Op Inc), Total Environmental Cost , Working Capacity , Fish Production Capacity , Crop Production Capacity , Meat Production Capacity , Biodiversity , Abiotic Resources , Water production capacity (Drinking water & Irrigation Water) , Wood Production Capacity ,% Imputed,last_updated,id_code,country,actor_type,isin_id,race_to_zero_member,end_target,end_target_percentage_reduction,end_target_baseline_year,end_target_other,end_target_year,end_target_status,status_date,interim_target,end_target_text,interim_target_text,target_notes,source_url,gasses_coverage,territorial_emissions,consumption_emissions,international_aviation,international_shipping,scope_1,scope_2,scope_3,historical_emissions,coverage_notes,has_plan,plan_options,reporting_mechanism,equity,accountability,carbon_credit_offsets,carbon_credit_conditions,annual_revenue_billions
Advance Auto Parts,Automotive Retail,"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries",-1.45%,-18.63%,"-140,536,391","-137,483,000","-32,735","-1,828,795","-428,618","-5,866","-7,545","-753,665","3,833",3%,10/16/21 23:31,COM-1480,USA,Company,US00751Y1064,No,No target,,,,,,,No target,,,,,Not Specified,,,,,Not Specified,Not Specified,Not Specified,,,,,,,,Not Specified,,9.7
Advanced Info Service,Wireless Telecommunication Services,Post and telecommunications (64),-3.17%,-14.20%,"-192,571,929","-187,481,767","-45,698","-2,453,673","-572,095","-8,011","-111,258","-1,905,476","6,048",8%,11/26/21 10:30,COM-1211,THA,Company,TH0268010Z03,No,Emissions reduction target,90,2015,,2023,In corporate strategy,2021,No target,"Reduce GHG emissions intensity, calculated from the ratio of GHG scope 1 and scope 2 emissions to data traffic by 90% compared to the baseline in 2015.",,https://sustainability.ais.co.th/storage/sustainability-priorities/emissions/ais-tcfd-2020.pdf,https://sustainability.ais.co.th/en/sustainability-priorities/emissions,Not Specified,,,,,Yes,Yes,Yes,No,,Yes,"Information on the extent to which measures will be applied (e.g. if switching to EVs, what share of the fleet; if installing an own solar PV installation, what is the installed capacity)|Schedule for regular review of measures",Annual reporting,No,Not Specified,Not Specified,,5.8
Advantest,Semiconductor Equipment ,Manufacture of electrical machinery and apparatus n.e.c. (31),-0.49%,-2.21%,"-12,379,830","-11,787,765","-2,701","-156,648","-36,694",-491,"-1,324","-394,219",12,0%,10/24/21 19:29,COM-0451,JPN,Company,JP3122400009,No,Net zero,,,,2050,In corporate strategy,2020,Emissions reduction target,"In terms of mid- to long-term CO2 emission reduction targets for business activities, we aim for a 30% reduction in
FY2030 (compared to FY2018) and a goal of “net-zero
CO2 emissions” by 2050. ","In terms of mid- to long-term CO2 emission reduction targets for business activities, we aim for a 30% reduction in
FY2030 (compared to FY2018)",,https://www.advantest.com/sustainability/pdf/E_all_IAR2020.pdf,Carbon dioxide and other GHGs,,,,,Yes,Yes,Not Specified,No,,Yes,"Information on the extent to which measures will be applied (e.g. if switching to EVs, what share of the fleet; if installing an own solar PV installation, what is the installed capacity)",Annual reporting,Yes,Not Specified,Not Specified,,2.5
Aeon Co,Real Estate Operating Companies,Real estate activities (70),-10.52%,-60.57%,"-295,741,434","-287,397,256","-65,916","-3,822,545","-896,104","-11,983","-2,005","-3,546,197",570,0%,10/24/21 11:29,COM-0294,JPN,Company,JP3388200002,No,Zero emissions,,,,2050,In corporate strategy,2020,Emissions reduction target,"Targets: Aim for sustainable plastic use with zero net CO2 emissions by 2050,
","35% reduction in CO2 emissions by 2030
(compared to 2010)* SBT approved",,https://www.irwebcasting.com/20210125/2/1045f40096/media/210125_aeon_en03.pdf,Carbon dioxide and other GHGs,,,,,Not Specified,Not Specified,Not Specified,No,,Yes,"Information on the extent to which measures will be applied (e.g. if switching to EVs, what share of the fleet; if installing an own solar PV installation, what is the installed capacity)|Information on the emission reductions expected from these measures within a certain time period",Annual reporting,No,No,Not Specified,,78.9
Agilent Technologies,Life Sciences Tools & Services,Research and development (73),0.37%,1.92%,"19,182,214","18,761,303","-7,175","241,268","59,847",-529,"-6,810","99,015","35,294",11%,10/18/21 10:44,COM-1266,USA,Company,US00846U1016,Yes,No target,,,,,,,No target,,,,,Not Specified,,,,,,,,,,,,,,,,,5.2
Air Liquide,Industrial Gases,Chemicals nec,-36.64%,-224.97%,"-9,004,051,487","-8,426,185,675","-2,002,880","-111,825,588","-26,225,271","-356,440","-1,022,461","-436,571,184","138,011",1%,10/18/21 14:31,COM-0600,FRA,Company,FR0000120073,No,Carbon neutral(ity),,,,2050,In corporate strategy,2020,Emissions reduction target,,"In 2018, the Group already committed to a 30% reduction of its carbon intensity(1), and will fully deliver its objective by 2025(2). The Group has now set more ambitious goals to abate CO2 emissions

-33% CARBON EMISSIONS BY 2035. Air Liquide commits to decreasing its CO2 emissions in absolute value by 33% by 2035. This includes direct emissions from its hydrogen production and cogeneration units, as well as indirect emissions from the production of electricity and steam purchased by the Group for its operations.","CARBON NEUTRALITY BY 2050. Air Liquide commits to reaching carbon neutrality by 2050, aligning the Group with international efforts to reduce global warming, as outlined in the Paris Agreement. This means significantly increasing the use of low carbon electricity for operations, implementing innovative carbon capture technologies, optimizing supply chains and improving the efficiency of our production units",https://www.airliquide.com/sites/airliquide.com/files/2021/03/22/act-leaflet.pdf,Not Specified,,,,,Yes,Yes,Not Specified,,,Yes,Measures for all emission scopes that are covered by the target,Annual reporting,,Not Specified,Not Specified,,24.5
Air Products & Chemicals,Industrial Gases,Chemicals nec,-108.73%,-457.31%,"-9,697,339,528","-8,427,790,829","-1,934,560","-112,273,791","-26,226,271","-351,679","-479,540","-1,128,321,864","39,006",11%,10/17/21 21:35,COM-0817,USA,Company,US0091581068,No,No target,,,,,,,Emissions intensity target,,The goal is to reduce carbon dioxide emissions intensity (kg CO2/MM BTU) by one-third by the year 2030 from a 2015 baseline.,,https://www.airproducts.com/company/news-center/2020/09/0915-air-products-third-by-30-co2-emissions-reduction-goal,Not Specified,,,,,Not Specified,Not Specified,Not Specified,,,,,,,Not Specified,Not Specified,,9
Ajinomoto,Packaged Foods & Meats,Processing of Food products nec,-6.94%,-88.73%,"-705,399,289","-669,488,191","-159,624","-8,905,939","-2,085,504","-28,509","-29,335","-24,719,189","17,002",3%,10/24/21 14:45,COM-0046,JPN,Company,JP3119600009,Yes,Emissions reduction target,50,2018,,2030,Declaration / pledge,2021,Emissions reduction target,"Long-term effort to turning the overall product lifecycle carbon neutral

in a table*",in a table*,,https://www.ajinomoto.com/sustainability/materiality/climate_change.php,Carbon dioxide and other GHGs,,,,,Yes,Yes,Yes,Yes,,Yes,"Information on the extent to which measures will be applied (e.g. if switching to EVs, what share of the fleet; if installing an own solar PV installation, what is the installed capacity)",No reporting mechanism,No,Not Specified,Not Specified,,10.2
Alaska Air,Airlines,Air transport (62),-30.07%,-240.26%,"-2,640,409,987","-2,583,705,871","-618,219","-33,968,255","-7,866,449","-110,732","-420,385","-13,831,827","111,751",5%,7/17/22 22:12,COM-1486,USA,Company,,Yes,Net zero,,,,2040,Declaration / pledge,2021,Other,"Alaska Airlines commits to carbon, waste and water goals for 2025, announces path to net zero by 2040 (10 years sooner than agreed by rest of the airlines Airlines for America (A4A) company  members.)","Near-term improvements
in reducing fuel use will come largely from replacing older
aircraft as we bring the Boeing 737 MAX into our fleet and
using technology and best practices to continue improving
the fuel efficiency of our operations","Hopes to achieve this by:
- Fleet renewal
- Increase in operational efficiency
- Change to Sustainable Aviation Fuel (SAF)
- Use of novel propulsion i.e. use of electrification technology for regional flying, that are either not dependent on fossil fuels, or more efficient than current methods
- Use of carbon offsetting ",https://newsroom.alaskaair.com/2021-04-21-Alaska-Airlines-commits-to-carbon-waste-and-water-goals-for-2025-announces-path-to-net-zero-by-2040,Carbon dioxide only,,,,,Not Specified,Not Specified,Not Specified,No,,No,,No reporting mechanism,Yes,Not Specified,Yes,Must be high environmental integrity,8.8
Alliant Energy,Electric Utilities,Production of electricity nec,-128.28%,-601.69%,"-4,679,349,039","-4,363,317,214","-1,037,008","-57,425,161","-13,433,692","-185,497","-551,612","-243,513,643","114,788",2%,6/22/22 11:07,COM-0401,USA,Company,US0188021085,No,Net zero,,,,2050,In corporate strategy,2020,Emissions reduction target,“Aspire to achieve net-zero CO₂ emissions from the electricity we generate”," “Reduce our fossil fuel generation carbon dioxide (CO₂) emissions by 50% from 2005 levels”

""2040 Goal - Eliminate all coal from our generation fleet"" - https://www.alliantenergy.com/-/media/alliant/documents/cleanenergy/responsibility-report/esgperformancesummary.pdf?la=en&hash=609D80BC058D7020A6E0B3CFD870D8C3","End target only includes carbon dioxide and emissions from electricity generation
https://www.alliantenergy.com/AlliantEnergyNews/NewsCenter/20-ResponsibilityReport
Eliminate coal 2040
",https://www.alliantenergy.com/AboutAlliantEnergy/ResponsibilityReport/CleanEnergyVisionGoals,Carbon dioxide only,,,,,Yes,No,No,No,"By 2030:
""Reduce our fossil fuel generation carbon dioxide (CO₂) emissions by 50% from 2005 levels""

By 2050:
""Aspire to achieve net-zero CO₂ emissions from the electricity we generate""

Source: https://www.alliantenergy.com/cleanenergy/ourenergyvision/responsibilityreport/cleanenergyvisiongoals#:~:text=Our%20aspirational%20net%2Dzero%20goal,in%20the%20communities%20we%20serve.",No,,No reporting mechanism,No,Yes,Yes,No conditions specified,3.6
Almarai,Packaged Foods & Meats,Processing of Food products nec,-18.70%,-138.87%,"-715,348,251","-560,176,148","-144,067","-7,332,535","-1,718,673","-24,619","-89,258","-145,874,234","11,283",6%,9/27/21 11:41,COM-1657,SAU,Company,SA000A0ETHT1,No,No target,,,,,,,No target,,,,https://www.almarai.com/en/,Not Specified,,,,,,,,,,,,,,,,,3.9
Alstom,Construction Machinery & Heavy Trucks,"Manufacture of motor vehicles, trailers and semi-trailers (34)",-0.35%,-5.19%,"-32,141,852","-30,572,251","-8,999","-400,640","-92,241","-1,483","-13,145","-1,058,980","5,888",21%,10/18/21 14:02,COM-0411,FRA,Company,FR0010220475,No,Net zero,,,,2050,Declaration / pledge,2020,No target,"- 25% energy reduction in solutions (1)
- 100% of newly developed solutions eco-designed
- 100% electricity supply from renewables
- Alstom committed to science-based CO2 emissions reduction targets within the frame of the Paris Agreement. Net zero by 2050",,https://www.alstom.com/commitments,https://www.alstom.com/sites/alstom.com/files/2021/07/07/20210706_Alstom_Universal_Registration_Document__EN.pdf,Not Specified,,,,,Yes,Yes,Yes,,"Target on Alstom legacy perimeter covering emissions from operations (scopes 1 and 2) consistent with reductions required to keep warming to 1.5°C, the most ambitious goal of the Paris Agreement. Target on Alstom legacy perimeter for emissions from value chain (scope 3) meeting the SBTi’s criteria for ambitious value chain goals, in line with current best practice. As part of the Bombardier Transportation integration program, CO2 reduction targets will be reviewed by the end of FY2021/22",Yes,,Annual reporting,No,Yes,Not Specified,,9.3
Amazon,Internet & Direct Marketing Retail,"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)",-1.23%,-24.28%,"-3,442,167,475","-3,367,335,771","-808,199","-44,808,497","-10,501,276","-144,426","-218,088","-18,464,883","113,665",4%,8/14/22 12:21,COM-0121,USA,Company,,Yes,Net zero,,,,2040,In corporate strategy,2020,No target,The Climate Pledge: Net-Zero Carbon by reaching net-zero carbon emissions across our operations by 2040.,,"The Climate Pledge
Science Based Targets (SBT) committed, developing interim targets for 2022",https://sustainability.aboutamazon.com/pdfBuilderDownload?name=amazon-sustainability-2020-report,Carbon dioxide only,,,,,Yes,Yes,Partial,No,"Lack of clarity on scope coverage, and whether target refers to CO2 only, or all GHG emissions. (Source: https://sustainability.aboutamazon.com/pdfBuilderDownload?name=amazon-sustainability-2020-report, page 12).

Boundary does not include the lifecycle emissions of the non-Amazon products sold via the Amazon marketplace. (Source: https://sustainability.aboutamazon.com/carbon-methodology)",Yes,Measures for all emission scopes that are covered by the target,Annual reporting,Yes,Not Specified,Yes,Must be high environmental integrity|Avoid social harm|Avoid biodiversity harm|Other conditions,296.3
Amdocs,IT Consulting & Other Services,Computer and related activities (72),-0.43%,-3.08%,"-17,564,080","-15,986,230","-4,301","-211,951","-49,274",-738,"-5,072","-1,308,536","2,021",14%,10/18/21 8:54,COM-1943,USA,Company,,No,No target,,,,,,,Emissions reduction target,,"Amdocs commits to reduce absolute Scopes 1 and 2 GHG emissions 21% by 2024 from a 2019 base year.
Amdocs commits to reduce absolute Scope 3 GHG emissions 13% by 2024 from a 2019 base year.",,https://www.amdocs.com/sites/default/files/2021-08/csr-report-2021-2.pdf,Carbon dioxide and other GHGs,,,,,Yes,Yes,Yes,,,Yes,Measures for all emission scopes that are covered by the target,,No,Not Specified,Yes,No conditions specified,4.1
Ameren,Multi-Utilities,Production of electricity nec,-134.12%,-625.61%,"-7,926,499,952","-7,339,229,366","-1,783,289","-96,795,748","-22,643,059","-316,690","-893,722","-465,153,982","315,904",2%,7/14/22 13:22,COM-0329,USA,Company,US0236081024,No,Net zero,,,,2050,Declaration / pledge,2020,Emissions reduction target,“net-zero carbon emissions goal by 2050 across all its operations in Missouri and Illinois”,"Milestones include reducing carbon emissions 50% by 2030 and 85% by 2040, based on 2005 levels",,https://ameren.mediaroom.com/2020-09-28-Ameren-establishes-net-zero-carbon-emissions-goal-and-a-transformative-expansion-of-wind-and-solar-energy,Not Specified,,,,,Yes,No,No,No,"Only scope 1 mentioned here: https://s21.q4cdn.com/448935352/files/doc_downloads/2021/07/CDP_Climate_Assurance_Statement_Ameren.pdf
CDP submission refers to CO2e, GHGs and carbon emissions, but it isn't clear exactly what the targets cover.",Yes,"Information on the emission reductions expected from these measures within a certain time period|Information on the extent to which measures will be applied (e.g. if switching to EVs, what share of the fleet; if installing an own solar PV installation, what is the installed capacity)",No reporting mechanism,No,Yes,Not Specified,,5.9
American Airlines,Airlines,Air transport (62),-28.53%,-352.35%,"-13,058,225,189","-12,760,735,005","-3,100,111","-166,945,718","-38,997,448","-552,869","-2,191,113","-86,370,129","667,204",4%,8/18/22 15:16,COM-1136,USA,Company,,Yes,Net zero,,,,2050,In corporate strategy,2020,Emissions reduction target,"""Achieve net zero emissions by 2050""","(Pg. 9) ""Reduce Scope 2 emissions by 40% BY 2035. In April 2022, we received validation from the Science Based Targets initiative (SBTi) that our intermediate 2035 GHG reduction target complies with the SBTi criteria. That makes us the first airline globally to achieve this milestone.""",Company declares net zero targets for 2050 with an interim target of reducing scope 2 emissions by 40% by 2035. Mentions the interim target complies with the SBTi criteria. Other commitments include GHG emissions intensity reduction by 45% from a 2019 baseline; 50m gallons of jet fuel from fuel efficiency initiatives by 2025 (Pg. 9),https://www.aa.com/content/images/customer-service/about-us/corporate-governance/esg/aag-esg-report-2021.pdf,Carbon dioxide and other GHGs,,,,,Yes,Yes,Yes,No,"(Pg.9) ""American’s science-based target is to reduce carbon intensity, which means GHG emissions per unit of passenger and cargo payload that the airline transports, by 45% by 2035, compared to a 2019 baseline. In setting this goal, we are committing to reduce the intensity associated with the entire life cycle emissions of jet fuel. This includes both direct emissions (Scope 1) — which are primarily from the jet fuel used in flight — and the emissions from the production of the jet fuel the airline uses (Scope 3). American has also committed to reduce by 40% the emissions from the production of the electricity we purchase (Scope 2) by 2035, also with a 2019 baseline. Scope 2 emissions are a small part of our overall GHG emissions, but an important focus for reducing the impacts of global warming.""",Yes,"Information on the emission reductions expected from these measures within a certain time period|Information on the extent to which measures will be applied (e.g. if switching to EVs, what share of the fleet; if installing an own solar PV installation, what is the installed capacity)",Annual reporting,No,Yes,Yes,No conditions specified,17.3
American Electric Power Company,Electric Utilities,Production of electricity nec,-163.81%,-927.36%,"-25,490,395,416","-23,381,671,480","-5,930,229","-306,853,086","-71,955,844","-1,010,245","-2,353,226","-1,721,497,512","876,206",2%,6/20/22 17:59,COM-0244,USA,Company,US0255371017,No,Net zero,,,,2050,Declaration / pledge,2022,Emissions reduction target," ""net zero carbon dioxide emissions by 2050""","“cut [carbon dioxide] emissions 80% from 2000 levels by 2030”
""Our goal is to reduce AEP's carbon emissions from directly owned generation (scope 1) by 2030 compared to 2000 levels""","https://eu.dispatch.com/story/business/2021/02/25/aep-pledges-power-generation-carbon-dioxide-free-2050/4566681001/
https://www.aep.com/news/releases/read/6051
http://www.aepsustainability.com/performance/report/docs/AEPs-Climate-Impact-Analysis.pdf
https://www.aepsustainability.com/performance/report/docs/2022_AEP-Sustainability-Report.pdf
",https://www.aepsustainability.com/performance/report/docs/2022_AEP-Sustainability-Report.pdf,Not Specified,,,,,Yes,Yes,Not Specified,No,"The 2030 goal covers only scope 1.
The 2050 goal covers only scope 1 & 2.
https://www.aepsustainability.com/performance/report/docs/2022_AEP-Sustainability-Report.pdf
Download decarbonization report here: https://aepsustainability.com/performance/esg-reports/",Yes,"Information on the emission reductions expected from these measures within a certain time period|Information on the extent to which measures will be applied (e.g. if switching to EVs, what share of the fleet; if installing an own solar PV installation, what is the installed capacity)",Annual reporting,Yes,Not Specified,Yes,No conditions specified,16.62
